Species,Specimen,PC1.score,PC2.score,PC1s.axis,PC2s.axis,BITE_2_full,BITE_2_99,BITE_2_95,BITE_2_90,BITE_2_60_90,BITE_2_60_LL_90,BITE_2_120_90,BITE_2_120_LL_90,PULL_50_full,PULL_50_99,PULL_50_95,PULL_50_90,SHAKE_50_full,SHAKE_50_99,SHAKE_50_95,SHAKE_50_90,BITE_50_full,BITE_50_99,BITE_50_95,BITE_50_90,BITE_70_full,BITE_70_99,BITE_70_95,BITE_70_90,SHAKE_90_full,SHAKE_90_99,SHAKE_90_95,SHAKE_90_90,PULL_90_full,PULL_90_99,PULL_90_95,PULL_90_90,Stressx.300N.SHAKE.50,Stressy.300N.PULL.50,Stressx.300N.SHAKE.90,Stressy.300N.PULL.90
Ailuropoda.melanoleuca,USNM258835,0.152190901,-0.034657033,0.152190901,NA,167.347,63.49316,25.2652,18.2587,43.36515,52.01713,42.0527,44.31726,72.7352,40.49408,34.25995,31.79632,98.5651,45.23019,42.37059,39.8597,16.0514,12.02617,10.09524,9.007888,163.092,73.96207,27.51237,19.98908,66.7638,24.9238,21.78524,20.38192,46.2388,18.76068,16.99,15.6932,175.5427929,137.1640969,64.40648171,45.19558285
Canis.dingo,AM5389,-0.032095155,-0.013762097,-0.032095155,-0.013762097,123.319,57.3752,25.8285,20.1049,65.26078,79.24472,57.79772,74.30493,262.585,78.08134,64.49758,57.4243,252.974,96.83005,88.66056,83.47244,87.6108,20.9458,17.94326,16.59998,128.012,55.83308,25.94233,20.07049,170.51,61.38845,51.0603,46.74794,166.242,40.73778,33.96456,29.75156,298.0682296,235.6409603,155.9641894,105.7611241
Didelphis.marsupialis,USNM578961,0.032853423,0.024417803,NA,0.024417803,172.88,72.14275,33.5757,27.902,68.02258,76.72528,43.23535,68.97122,274.44,60.32199,47.46367,39.63161,280.912,86.84443,73.34068,69.2356,148.381,22.84088,20.55937,18.97394,171.821,74.98155,33.45019,27.67403,181.925,57.08926,40.44463,37.1939,163.354,28.30383,22.78991,19.29837,281.3866051,227.0914868,117.3317313,65.54610594
Eira.barbara,USNM461839,0.01408188,-0.023600861,0.01408188,-0.023600861,159.871,68.5357,28.5933,19.9783,60.68525,75.16432,58.04281,69.94262,108.556,62.50608,52.71806,47.89876,205.443,78.91463,72.19249,67.5646,24.0167,15.111695,12.67257,11.55216,143.947,69.05088,28.68443,20.05631,136.641,41.86613,38.62709,35.75462,70.5077,31.43949,27.63069,25.11205,288.9813551,220.3328682,105.0161781,81.32021994
Leopardus.paradalis,USNM171237,-0.0227309,-0.045491082,NA,-0.045491082,226.3,88.03875,42.1835,26.7728,63.08798,107.4659,81.57315,95.61906,224.049,70.87416,59.61296,53.48516,206.484,88.58575,83.27967,77.43599,28.9295,15.15358,13.3742,11.9622,179.262,88.09315,42.03144,26.69605,139.542,48.96196,41.39359,38.73241,143.334,37.95136,30.53717,26.3564,362.7691399,241.8460932,119.313554,89.39319722
Procyon.lotor,USNM265610,-0.050169261,-0.097464083,NA,NA,249.779,90.71568,36.6214,23.9809,86.4827,105.9327,88.52577,97.46064,111.816,88.04556,76.7488,70.96163,258.263,101.8697,95.29973,87.37496,26.2016,17.44876,14.18557,12.6042,185.5411,91.10674,36.54312,24.0804,172.837,55.61084,50.74872,45.66176,58.2467,44.24909,38.80355,35.02836,341.1614635,239.2868598,123.072057,84.36487649
Panthera.uncia,AMNH35529,-0.079838006,-0.032153462,-0.079838006,NA,343.55,117.204,40.90066,26.46755,89.345,119.4304,93.51434,107.006,222.959,88.61166,73.03858,66.9694,300.454,103.8424,96.2068,90.5648,47.4303,15.71231,14.56623,13.74019,251.643,118.4432,40.55842,26.50672,202.699,55.48634,50.7924,47.5885,143.44,45.28304,38.03667,34.8121,386.663156,296.8915887,140.7993591,107.384193
Sarcophilus.harrisii,NMVC6242,0.040996281,-0.027919092,NA,NA,291.997,98.22186,34.4425,20.996,55.88352,64.21825,68.5045,52.37546,136.74,60.58917,51.44615,45.83518,176.175,55.9238,50.99083,48.086,32.7068,11.48409,10.17515,9.64905,203.533,101.5993,34.16823,20.77813,122.251,34.31383,28.06235,25.6485,90.6469,29.97494,25.54891,22.92241,193.9992813,197.5534666,77.17527435,68.18857233
Ursus.arctos,USNM232380,0.068615814,0.003335191,0.068615814,0.003335191,192.598,72.90421,33.52468,22.34384,59.0553,73.00037,57.32633,61.46903,127.301,50.78884,43.02445,38.9884,190.867,58.32231,53.71714,50.85903,34.1747,13.04804,10.9826,9.91346,160.984,78.93791,33.6752,22.4893,129.09,31.50369,28.04424,26.12875,79.4965,24.98097,21.2782,19.2113,247.2128171,198.8297371,92.20369007,77.29125394
Vulpes.vulpes,NMVC25074,-0.128561073,0.032069573,NA,NA,241.437,120.3011,49.937,46.6724,122.1755,135.0546,76.52336,115.988,322.008,108.8608,86.5902,78.44826,388.416,130.8672,119.923,113.162,169.918,45.27303,39.90998,36.67698,259.942,115.9672,50.37317,46.95006,260.475,76.16192,69.081,63.26401,196.616,53.92262,44.22599,38.4601,477.1795589,365.7039981,169.9424852,124.0756553
Viverra.zibetha,AMNH57055,-0.071116124,0.027989028,NA,NA,257.508,88.36717,37.4294,30.885,81.38104,92.73314,56.97972,84.44679,211.572,82.99092,67.75792,59.90732,266.964,97.06191,91.80788,86.03886,97.42295,31.86827,26.47972,23.91702,220.704,92.1942,37.6467,31.04858,179.786,61.82452,51.89991,48.09111,129.052,41.36965,34.37945,30.2261,357.2649338,262.9941266,146.3648467,102.4081274
PC1.max,PC1.max1,0.2495984,0,0.2495984,NA,131.996,41.68588,16.26805,11.5062,28.76518,29.36593,27.41397,29.41385,72.507,29.92872,24.46243,21.42708,86.8947,31.03504,27.02218,25.2756,15.7638,9.830391,7.9594,7.155906,128.205,42.36746,16.69902,11.4652,62.1712,21.49516,15.10518,13.68638,46.3,16.24741,14.00597,11.54422,101.8567479,91.38077508,44.09816723,35.953387
PC1.min,PC1.min1,-0.1915659,0,-0.1915659,NA,233.088,106.9547,45.52745,33.3288,125.4118,177.694,125.5291,165.2992,518.27,143.0092,121.7547,108.3212,488.82,183.7941,174.8358,166.5962,141.11,30.54416,25.45674,23.00865,198.243,103.4918,44.7042,32.71111,328.827,105.6692,95.55224,89.277,330.528,72.01378,62.56504,55.15059,745.943826,508.9382626,265.5501182,183.3786957
PC2.max,PC2.max1,0,0.1147946,NA,0.1147946,189.755,68.99524,29.0639,25.7619,65.71829,70.11467,45.822,68.10501,195.703,71.94625,53.21862,44.6474,256.47,80.27578,72.69615,67.23652,100.84,23.63509,20.25492,17.9589,151.149,70.88717,29.34423,25.88933,158.624,49.87615,37.90516,34.1487,104.509,29.6814,23.52452,19.65056,255.028797,200.4895061,100.6437806,63.97586438
PC2.min,PC2.min1,0,-0.148989,NA,-0.148989,233.262,88.88564,35.558,23.4317,69.7768,72.12183,57.93556,79.89348,158.017,60.54227,54.65454,50.8321,214.564,80.73318,73.174,69.34084,24.5375,12.61236,10.7819,9.837875,204.421,94.6514,35.42773,23.46397,147.764,47.93731,41.58246,38.21306,119.456,39.5066,32.71704,30.05622,264.3056752,199.1344128,105.9656718,73.61825619
Mean.Shape,Mean.Shape1,0,0,0,0,157.262,64.52637,27.50545,19.4573,53.58033,67.13187,60.37068,66.00689,241.28,64.14077,52.69022,47.22354,208.381,71.25829,66.01087,61.93347,51.8069,13.23515,11.22005,10.1906,151.685,68.11525,27.50709,19.48395,141.661,46.34874,36.8462,33.9372,155.025,34.07867,28.80351,25.51962,262.1815389,211.2541896,107.8704166,82.18168849
PC1pos.PC2pos,PC1pos.PC2pos1,0.2495984,0.1147946,NA,NA,95.0245,39.67855,15.01283,10.9734,26.82405,29.95855,26.19117,27.93,52.4648,33.32858,25.3181,20.49753,79.0136,33.47273,27.6598,25.69015,18.8173,10.30606,8.693652,7.721841,,,,,53.4259,20.3352,16.04466,14.2514,30.4311,14.97351,12.14816,10.57629,98.45820389,87.22387037,41.17400626,28.69397659
PC1pos.PC2neg,PC1pos.PC2neg1,0.2495984,-0.148989,NA,NA,143.149,52.23265,21.40633,15.3476,33.70165,29.38062,23.72146,37.79731,45.6001,27.24663,24.33168,22.13996,98.0109,32.73282,30.12977,27.85012,14.8791,10.083,8.93369,8.094186,,,,,68.8313,20.54778,15.85919,14.57596,31.0316,16.65407,14.56997,12.6068,106.8705713,91.19622084,42.78816511,33.26770856
PC1neg.PC2pos,PC1neg.PC2pos1,-0.1915659,0.1147946,NA,NA,445.963,134.5492,63.7916,56.9337,163.541,208.9748,106.2757,185.803,716.23,173.3878,135.873,114.905,448.541,233.2582,218.4382,208.3601,424.85,71.81496,50.602,46.1297,,,,,278.896,122.5845,110.961,103.5333,397.977,71.73802,60.0007,50.4474,782.8021421,526.4863964,274.1322876,161.6597262
PC1neg.PC2neg,PC1neg.PC2neg1,-0.1915659,-0.148989,NA,NA,257.63,142.4003,54.81797,37.16774,138.6164,263.5609,139.0737,242.0599,336.823,141.8808,130.455,118.74,511.709,269.4131,245.9502,232.6374,32.3419,27.40038,24.37729,21.99006,,,,,336.142,138.384,128.8621,121.0485,230.363,74.9226,67.3851,62.197,989.4940953,506.5972763,345.3106914,167.3914632